Date,Type,Count
01-14-2022,Definition,25
10-04-2022,Supporting/Example,6
11-17-2023,Exception/Limitation,14
09-22-2023,Rescinding,11
02-08-2023,Adjusting,16
02-26-2024,Legal Basis/Precedent,17
03-05-2023,Authority,3
02-18-2023,Definition,13
03-16-2023,Supporting/Example,21
01-06-2022,Exception/Limitation,23
04-04-2024,Rescinding,10
12-31-2022,Adjusting,18
12-26-2023,Legal Basis/Precedent,25
01-05-2022,Authority,8
03-26-2023,Definition,12
01-22-2023,Supporting/Example,4
08-18-2022,Exception/Limitation,19
08-14-2022,Rescinding,15
11-12-2022,Adjusting,2
01-08-2023,Authority,6
10-09-2023,Authority,22
05-18-2023,Legal Basis/Precedent,24
11-09-2022,Authority,13
07-11-2022,Definition,9
07-28-2023,Supporting/Example,17
04-17-2022,Exception/Limitation,20
05-04-2023,Rescinding,7
02-18-2022,Adjusting,21
10-20-2023,Legal Basis/Precedent,14
10-29-2023,Authority,5
06-06-2022,Definition,23
01-23-2024,Supporting/Example,18
01-04-2023,Exception/Limitation,25
02-11-2023,Rescinding,3
08-05-2023,Adjusting,16
02-26-2022,Legal Basis/Precedent,8
03-13-2024,Authority,19
02-12-2022,Definition,22
04-01-2022,Supporting/Example,12
03-22-2022,Exception/Limitation,7
02-13-2022,Rescinding,20
03-17-2023,Adjusting,11
08-24-2023,Authority,10
05-30-2023,Authority,5
12-25-2022,Authority,25
01-29-2024,Authority,23
04-18-2023,Authority,6
01-25-2024,Authority,14
03-21-2023,Authority,17
02-28-2022,Authority,9
12-29-2023,Authority,15
10-17-2023,Authority,8
08-22-2023,Authority,21
01-08-2023,Authority,4
01-16-2024,Rescinding,12
01-01-2023,Rescinding,13
03-28-2022,Rescinding,10
01-01-2022,Rescinding,3
09-26-2023,Rescinding,24
04-10-2022,Rescinding,18
11-19-2022,Rescinding,22
04-14-2023,Exception/Limitation,5
09-08-2022,Exception/Limitation,7
02-19-2022,Exception/Limitation,25
08-29-2022,Exception/Limitation,19
12-21-2022,Exception/Limitation,11
07-31-2022,Exception/Limitation,16
12-09-2022,Exception/Limitation,14
03-06-2022,Exception/Limitation,8
02-10-2023,Exception/Limitation,17
01-26-2024,Exception/Limitation,6
05-04-2023,Exception/Limitation,23
06-14-2022,Exception/Limitation,21
12-27-2023,Exception/Limitation,20
06-03-2023,Exception/Limitation,13
04-24-2023,Definition,10
09-28-2022,Definition,24
12-07-2022,Definition,8
06-24-2022,Definition,22
08-22-2022,Definition,20
02-22-2024,Definition,17
07-27-2022,Definition,15
07-06-2022,Definition,12
04-12-2023,Definition,23
11-07-2022,Definition,11
01-13-2023,Definition,5
03-30-2022,Definition,19
02-19-2024,Definition,18
01-15-2022,Definition,8
02-02-2022,Definition,23
01-27-2022,Definition,16
10-15-2023,Definition,18
05-28-2023,Definition,9
03-20-2023,Definition,15
02-01-2023,Definition,20
02-05-2023,Definition,25
01-27-2024,Definition,10
06-24-2023,Definition,13
03-24-2022,Definition,7
02-25-2023,Definition,19
07-17-2023,Definition,25
01-18-2022,Definition,3
04-12-2023,Definition,17
03-11-2023,Definition,6
01-23-2022,Definition,24
03-09-2023,Definition,4
09-06-2023,Definition,21
06-12-2023,Supporting/Example,14
09-19-2023,Supporting/Example,9
10-07-2022,Supporting/Example,11
01-02-2023,Supporting/Example,16
05-25-2022,Rescinding,18
10-11-2022,Rescinding,2
